id,name,preferred_subjects,target_colleges,preparation_level,learning_style
133,Aspirant_133,Legal Reasoning,"NALSAR, NLU Jodhpur",Advanced,Visual
134,Aspirant_134,Legal Reasoning,GNLU,Beginner,Auditory
135,Aspirant_135,"Logical Reasoning, English, Current Affairs","NLU Jodhpur, NUJS",Advanced,Auditory
136,Aspirant_136,Quantitative Techniques,NUJS,Advanced,Auditory
137,Aspirant_137,"Quantitative Techniques, Legal Reasoning","NLU Delhi, NLU Jodhpur",Beginner,Auditory
138,Aspirant_138,Legal Reasoning,"NUJS, NLSIU",Advanced,Auditory
139,Aspirant_139,"Quantitative Techniques, Current Affairs",NLSIU,Beginner,Auditory
140,Aspirant_140,"Legal Reasoning, Quantitative Techniques, English","NLU Delhi, NALSAR",Intermediate,Auditory
141,Aspirant_141,"English, Legal Reasoning, Current Affairs","NLU Delhi, GNLU",Advanced,Visual
142,Aspirant_142,"Current Affairs, Legal Reasoning, Logical Reasoning","NALSAR, NLU Delhi",Beginner,Auditory
143,Aspirant_143,Legal Reasoning,"NLU Jodhpur, NUJS",Intermediate,Kinesthetic
144,Aspirant_144,English,"NLU Jodhpur, NLSIU",Beginner,Visual
145,Aspirant_145,"Logical Reasoning, English, Legal Reasoning",NALSAR,Advanced,Auditory
146,Aspirant_146,Legal Reasoning,"NUJS, NLU Jodhpur",Beginner,Auditory
147,Aspirant_147,"English, Quantitative Techniques","NLU Jodhpur, NLU Delhi",Intermediate,Auditory
148,Aspirant_148,"English, Logical Reasoning",GNLU,Advanced,Auditory
149,Aspirant_149,"Current Affairs, Logical Reasoning, English","NUJS, NLU Delhi",Advanced,Kinesthetic
150,Aspirant_150,Logical Reasoning,"NLU Delhi, NALSAR",Beginner,Visual
151,Aspirant_151,"Logical Reasoning, English","NLU Delhi, NLU Jodhpur",Intermediate,Kinesthetic
152,Aspirant_152,Legal Reasoning,"GNLU, NLSIU",Intermediate,Visual
153,Aspirant_153,"Quantitative Techniques, English","NUJS, GNLU",Advanced,Visual
154,Aspirant_154,Current Affairs,GNLU,Beginner,Auditory
155,Aspirant_155,"English, Legal Reasoning, Current Affairs",NLU Delhi,Advanced,Kinesthetic
156,Aspirant_156,"Quantitative Techniques, Logical Reasoning, Legal Reasoning","NUJS, NLU Delhi",Intermediate,Kinesthetic
157,Aspirant_157,"English, Logical Reasoning, Legal Reasoning",GNLU,Advanced,Auditory
158,Aspirant_158,"Legal Reasoning, Current Affairs",NALSAR,Advanced,Kinesthetic
159,Aspirant_159,Legal Reasoning,"NLU Jodhpur, NUJS",Beginner,Visual
160,Aspirant_160,Current Affairs,"NLU Jodhpur, NLSIU",Advanced,Kinesthetic
161,Aspirant_161,"Current Affairs, English","NLU Jodhpur, NLU Delhi",Beginner,Kinesthetic
162,Aspirant_162,Legal Reasoning,"NUJS, NLU Jodhpur",Advanced,Visual
163,Aspirant_163,Quantitative Techniques,NALSAR,Intermediate,Auditory
164,Aspirant_164,Logical Reasoning,"NUJS, GNLU",Beginner,Visual
165,Aspirant_165,"Current Affairs, Quantitative Techniques","NLSIU, NLU Jodhpur",Beginner,Kinesthetic
166,Aspirant_166,"Current Affairs, Logical Reasoning, English","NLU Delhi, NLU Jodhpur",Advanced,Visual
167,Aspirant_167,Legal Reasoning,"NLSIU, NLU Jodhpur",Intermediate,Auditory
168,Aspirant_168,Current Affairs,"NUJS, NLSIU",Beginner,Auditory
169,Aspirant_169,"English, Logical Reasoning, Quantitative Techniques","NLU Jodhpur, NLU Delhi",Intermediate,Kinesthetic
170,Aspirant_170,Current Affairs,NLU Delhi,Advanced,Kinesthetic
171,Aspirant_171,"Quantitative Techniques, English","NLU Delhi, NLSIU",Beginner,Auditory
172,Aspirant_172,"Quantitative Techniques, Current Affairs","NLSIU, NALSAR",Intermediate,Kinesthetic
173,Aspirant_173,"Legal Reasoning, Quantitative Techniques, Current Affairs","NALSAR, NLU Jodhpur",Intermediate,Auditory
174,Aspirant_174,"Quantitative Techniques, English",GNLU,Advanced,Visual
175,Aspirant_175,"English, Logical Reasoning, Current Affairs",NALSAR,Beginner,Auditory
176,Aspirant_176,Quantitative Techniques,"GNLU, NLU Jodhpur",Intermediate,Visual
177,Aspirant_177,English,"NLSIU, GNLU",Beginner,Auditory
178,Aspirant_178,"Quantitative Techniques, English",GNLU,Intermediate,Kinesthetic
179,Aspirant_179,"Quantitative Techniques, English, Logical Reasoning",NLSIU,Beginner,Visual
180,Aspirant_180,Legal Reasoning,NLU Delhi,Advanced,Visual
181,Aspirant_181,"Quantitative Techniques, English, Logical Reasoning",GNLU,Beginner,Auditory
182,Aspirant_182,"Logical Reasoning, English, Current Affairs",NALSAR,Advanced,Auditory
183,Aspirant_183,Quantitative Techniques,NUJS,Advanced,Kinesthetic
184,Aspirant_184,English,GNLU,Beginner,Auditory
185,Aspirant_185,Current Affairs,NLU Jodhpur,Advanced,Visual
186,Aspirant_186,"Current Affairs, Logical Reasoning, Legal Reasoning","NLU Jodhpur, GNLU",Intermediate,Auditory
187,Aspirant_187,Logical Reasoning,NLU Jodhpur,Intermediate,Kinesthetic
188,Aspirant_188,Quantitative Techniques,NLSIU,Intermediate,Visual
189,Aspirant_189,"Logical Reasoning, Quantitative Techniques","NALSAR, NLSIU",Advanced,Visual
190,Aspirant_190,"Legal Reasoning, Logical Reasoning",GNLU,Beginner,Kinesthetic
191,Aspirant_191,Logical Reasoning,NLU Delhi,Advanced,Visual
192,Aspirant_192,"Quantitative Techniques, Legal Reasoning, Current Affairs","NLU Delhi, NUJS",Advanced,Visual
193,Aspirant_193,"Logical Reasoning, Current Affairs",NALSAR,Intermediate,Auditory
194,Aspirant_194,"Quantitative Techniques, English, Legal Reasoning","NLSIU, NUJS",Advanced,Visual
195,Aspirant_195,"Current Affairs, English, Legal Reasoning","NLSIU, GNLU",Intermediate,Visual
196,Aspirant_196,"Legal Reasoning, Logical Reasoning","NLU Delhi, NLU Jodhpur",Beginner,Visual
197,Aspirant_197,"English, Current Affairs, Quantitative Techniques","NLU Delhi, NALSAR",Beginner,Auditory
198,Aspirant_198,Current Affairs,"NLU Jodhpur, NLSIU",Intermediate,Auditory
199,Aspirant_199,Logical Reasoning,"NLSIU, NLU Jodhpur",Advanced,Auditory
200,Aspirant_200,"English, Quantitative Techniques","NLSIU, NALSAR",Beginner,Auditory
201,Aspirant_201,"Legal Reasoning, Current Affairs, Logical Reasoning","NLU Delhi, GNLU",Beginner,Auditory
202,Aspirant_202,"Current Affairs, English",NLU Jodhpur,Beginner,Visual
203,Aspirant_203,"Current Affairs, Legal Reasoning",NALSAR,Intermediate,Visual
204,Aspirant_204,Logical Reasoning,"GNLU, NUJS",Advanced,Kinesthetic
205,Aspirant_205,"Quantitative Techniques, Current Affairs",NLU Jodhpur,Beginner,Auditory
206,Aspirant_206,"Legal Reasoning, Current Affairs, English",NLU Jodhpur,Intermediate,Kinesthetic
207,Aspirant_207,"Current Affairs, Quantitative Techniques, Logical Reasoning","NLU Jodhpur, NLU Delhi",Beginner,Kinesthetic
208,Aspirant_208,"Current Affairs, Legal Reasoning","GNLU, NLU Delhi",Advanced,Kinesthetic
209,Aspirant_209,English,"GNLU, NUJS",Beginner,Auditory
210,Aspirant_210,Current Affairs,"GNLU, NALSAR",Intermediate,Kinesthetic
211,Aspirant_211,"Logical Reasoning, Legal Reasoning","NLU Jodhpur, GNLU",Beginner,Auditory
212,Aspirant_212,"English, Logical Reasoning","NALSAR, NLU Delhi",Intermediate,Kinesthetic
213,Aspirant_213,"English, Current Affairs, Quantitative Techniques",NLSIU,Intermediate,Kinesthetic
214,Aspirant_214,"Legal Reasoning, Quantitative Techniques","NALSAR, NLU Delhi",Intermediate,Auditory
215,Aspirant_215,Current Affairs,GNLU,Beginner,Visual
216,Aspirant_216,Legal Reasoning,"NUJS, NLSIU",Advanced,Kinesthetic
217,Aspirant_217,"Current Affairs, Logical Reasoning, English","NLU Jodhpur, GNLU",Intermediate,Visual
218,Aspirant_218,"Current Affairs, Quantitative Techniques, English","NLU Delhi, GNLU",Advanced,Kinesthetic
219,Aspirant_219,"Logical Reasoning, Legal Reasoning, English",GNLU,Advanced,Kinesthetic
220,Aspirant_220,Legal Reasoning,"NALSAR, GNLU",Intermediate,Auditory
221,Aspirant_221,"English, Legal Reasoning, Current Affairs",NLU Delhi,Beginner,Kinesthetic
222,Aspirant_222,"Current Affairs, English",NLU Delhi,Beginner,Kinesthetic
223,Aspirant_223,Quantitative Techniques,"NALSAR, NLU Jodhpur",Intermediate,Visual
224,Aspirant_224,"Logical Reasoning, English",NALSAR,Advanced,Visual
225,Aspirant_225,"Quantitative Techniques, Legal Reasoning","NLSIU, NUJS",Beginner,Visual
226,Aspirant_226,"Logical Reasoning, Quantitative Techniques, Current Affairs","NUJS, GNLU",Intermediate,Visual
227,Aspirant_227,"Current Affairs, Logical Reasoning, Legal Reasoning",GNLU,Intermediate,Auditory
228,Aspirant_228,"English, Legal Reasoning","NALSAR, NLSIU",Intermediate,Kinesthetic
229,Aspirant_229,Current Affairs,NLU Jodhpur,Advanced,Visual
230,Aspirant_230,"Quantitative Techniques, Current Affairs","NLSIU, GNLU",Advanced,Visual
231,Aspirant_231,Legal Reasoning,"NLU Delhi, NUJS",Intermediate,Kinesthetic
232,Aspirant_232,Current Affairs,"NLSIU, NUJS",Advanced,Visual
233,Aspirant_233,Current Affairs,"NLU Jodhpur, NLSIU",Intermediate,Kinesthetic
234,Aspirant_234,"Logical Reasoning, Quantitative Techniques, English",NLSIU,Beginner,Visual
235,Aspirant_235,"English, Legal Reasoning",GNLU,Beginner,Auditory
236,Aspirant_236,"English, Current Affairs",GNLU,Beginner,Kinesthetic
237,Aspirant_237,Logical Reasoning,"NLU Delhi, GNLU",Intermediate,Auditory
238,Aspirant_238,"English, Logical Reasoning, Legal Reasoning","NALSAR, NLU Jodhpur",Advanced,Kinesthetic
239,Aspirant_239,"Current Affairs, Legal Reasoning","NUJS, GNLU",Intermediate,Visual
240,Aspirant_240,"Quantitative Techniques, Logical Reasoning, English",NUJS,Beginner,Kinesthetic
241,Aspirant_241,"Quantitative Techniques, Current Affairs",NUJS,Intermediate,Visual
242,Aspirant_242,"Logical Reasoning, Legal Reasoning, Quantitative Techniques","NLU Delhi, GNLU",Beginner,Auditory
243,Aspirant_243,"Current Affairs, Logical Reasoning, Legal Reasoning",NLSIU,Intermediate,Kinesthetic
244,Aspirant_244,"Quantitative Techniques, Logical Reasoning, English","NLU Delhi, NALSAR",Beginner,Auditory
245,Aspirant_245,Current Affairs,"NLSIU, NLU Delhi",Beginner,Kinesthetic
246,Aspirant_246,"Logical Reasoning, Quantitative Techniques, Legal Reasoning",NUJS,Advanced,Auditory
247,Aspirant_247,Quantitative Techniques,NLU Jodhpur,Intermediate,Auditory
248,Aspirant_248,"Logical Reasoning, English, Current Affairs","NUJS, NLU Delhi",Intermediate,Visual
249,Aspirant_249,"Logical Reasoning, Legal Reasoning, Current Affairs","NLU Jodhpur, NLU Delhi",Intermediate,Visual
250,Aspirant_250,Current Affairs,"NLSIU, NLU Delhi",Advanced,Auditory
251,Aspirant_251,"English, Legal Reasoning","NLSIU, NALSAR",Intermediate,Auditory
252,Aspirant_252,"Logical Reasoning, Legal Reasoning, English",NUJS,Beginner,Kinesthetic
253,Aspirant_253,Logical Reasoning,"NLSIU, NLU Jodhpur",Intermediate,Kinesthetic
254,Aspirant_254,Current Affairs,GNLU,Intermediate,Auditory
255,Aspirant_255,Current Affairs,"GNLU, NLU Delhi",Beginner,Kinesthetic
256,Aspirant_256,English,NUJS,Intermediate,Visual
257,Aspirant_257,"Legal Reasoning, Logical Reasoning, Quantitative Techniques","NUJS, NALSAR",Advanced,Kinesthetic
258,Aspirant_258,Quantitative Techniques,"NLU Jodhpur, GNLU",Beginner,Auditory
259,Aspirant_259,Quantitative Techniques,NUJS,Intermediate,Auditory
260,Aspirant_260,"Legal Reasoning, Current Affairs","NLU Jodhpur, NALSAR",Intermediate,Visual
261,Aspirant_261,"Legal Reasoning, English","NUJS, NLU Jodhpur",Intermediate,Kinesthetic
262,Aspirant_262,Logical Reasoning,"NLSIU, NALSAR",Beginner,Auditory
263,Aspirant_263,"Quantitative Techniques, Legal Reasoning, English",NLU Jodhpur,Beginner,Auditory
264,Aspirant_264,"English, Current Affairs, Legal Reasoning",NUJS,Beginner,Kinesthetic
265,Aspirant_265,"Legal Reasoning, Logical Reasoning",NLU Jodhpur,Advanced,Visual
266,Aspirant_266,"English, Current Affairs, Legal Reasoning",NLSIU,Beginner,Kinesthetic
267,Aspirant_267,"Legal Reasoning, English, Quantitative Techniques",NLU Jodhpur,Beginner,Visual
268,Aspirant_268,"Quantitative Techniques, Legal Reasoning",NLSIU,Beginner,Kinesthetic
269,Aspirant_269,"Current Affairs, English","NLU Jodhpur, NALSAR",Advanced,Kinesthetic
270,Aspirant_270,Current Affairs,"GNLU, NALSAR",Intermediate,Visual
271,Aspirant_271,English,NLU Jodhpur,Beginner,Auditory
272,Aspirant_272,English,"GNLU, NUJS",Beginner,Auditory
273,Aspirant_273,Quantitative Techniques,NUJS,Advanced,Auditory
274,Aspirant_274,"English, Logical Reasoning, Current Affairs","NLU Jodhpur, NUJS",Advanced,Auditory
275,Aspirant_275,Current Affairs,NALSAR,Advanced,Auditory
276,Aspirant_276,"Logical Reasoning, Current Affairs",NLU Delhi,Intermediate,Kinesthetic
277,Aspirant_277,Legal Reasoning,"NLSIU, NALSAR",Advanced,Kinesthetic
278,Aspirant_278,Current Affairs,NLSIU,Intermediate,Auditory
279,Aspirant_279,"English, Current Affairs",NLSIU,Advanced,Visual
280,Aspirant_280,Legal Reasoning,NUJS,Beginner,Kinesthetic
281,Aspirant_281,Legal Reasoning,"NLU Jodhpur, NALSAR",Beginner,Auditory
282,Aspirant_282,English,"NLU Jodhpur, GNLU",Beginner,Visual
283,Aspirant_283,English,GNLU,Beginner,Kinesthetic
284,Aspirant_284,Current Affairs,GNLU,Advanced,Visual
285,Aspirant_285,"Legal Reasoning, Logical Reasoning","GNLU, NLU Jodhpur",Advanced,Visual
286,Aspirant_286,Legal Reasoning,NALSAR,Advanced,Auditory
287,Aspirant_287,"Current Affairs, Legal Reasoning",NLSIU,Advanced,Kinesthetic
288,Aspirant_288,"Quantitative Techniques, Legal Reasoning, English",NALSAR,Intermediate,Visual
289,Aspirant_289,"Legal Reasoning, Current Affairs, English","NLU Jodhpur, NALSAR",Intermediate,Kinesthetic
290,Aspirant_290,Legal Reasoning,NLSIU,Beginner,Auditory
291,Aspirant_291,English,NALSAR,Advanced,Kinesthetic
292,Aspirant_292,"Logical Reasoning, Legal Reasoning","NALSAR, GNLU",Intermediate,Auditory
293,Aspirant_293,Logical Reasoning,NLSIU,Beginner,Auditory
294,Aspirant_294,Legal Reasoning,"GNLU, NALSAR",Intermediate,Visual
295,Aspirant_295,"Current Affairs, Legal Reasoning, Quantitative Techniques","NUJS, NLU Delhi",Advanced,Visual
296,Aspirant_296,"Logical Reasoning, Legal Reasoning, Quantitative Techniques","NUJS, NLU Delhi",Intermediate,Kinesthetic
297,Aspirant_297,"Current Affairs, English, Legal Reasoning","GNLU, NUJS",Intermediate,Auditory
298,Aspirant_298,Legal Reasoning,NALSAR,Intermediate,Kinesthetic
299,Aspirant_299,"Current Affairs, Logical Reasoning","NALSAR, GNLU",Intermediate,Auditory
300,Aspirant_300,"Current Affairs, Legal Reasoning, Quantitative Techniques","NALSAR, NLSIU",Beginner,Visual
